ds,yhat,yhat_lower,yhat_upper,Actual,Type
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1643690.9,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,2193048.75,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,536006.73,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,789036.02,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,465108.52,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,677231.63,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1033017.37,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1364721.58,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1388725.63,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1507637.17,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,798593.88,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1034119.21,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1230596.8,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1004137.09,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1087616.19,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,652122.44,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,956228.96,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1967220.53,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,358496.14,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,549505.55,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,2136989.46,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,890689.51,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,2401395.47,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1874289.79,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1086533.18,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,2135143.87,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1469252.05,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,477409.3,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1528008.64,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,467546.74,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,543384.01,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,317173.1,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,647029.28,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1230613.5,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1672352.29,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1652635.1,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,274593.43,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,281090.95,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1205307.5,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,461622.22,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1100046.37,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,538634.46,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,1001943.8,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,496725.44,Actual
2010-02-05,1061368.4626331977,312469.959035698,1721672.3579160492,2623469.95,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,994801.4,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,682447.1,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,682918.99,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,311825.7,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1266229.07,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1015684.09,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,994610.99,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,294882.83,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,524104.92,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,2030933.46,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,955338.29,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1117863.33,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1536549.95,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,342214.9,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1641957.44,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,552677.48,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,2137809.5,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,656988.64,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,2109107.9,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1745362.72,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,2188307.39,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,529672.95,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1543947.23,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1187880.7,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,472044.28,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1574684.08,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,469563.7,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,575709.96,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1704218.84,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,809321.44,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1123566.12,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,529852.7,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1075656.34,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,583364.02,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,841951.91,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1022571.25,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1558968.49,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1606283.86,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,420728.96,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1380892.08,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,2176028.52,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,497374.57,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1414107.1,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,286857.13,Actual
2010-02-12,1079892.065384488,350180.11188399594,1788817.5984017542,1168815.31,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,841264.04,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,542399.07,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,1052034.74,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,1945070.33,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,508794.87,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,867283.25,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,470281.03,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,800714.0,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,1150663.42,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,2113432.58,Actual
2010-02-19,1053826.7850965364,309215.4236080313,1770210.978099617,469868.7,Actual
